# Generated by workflow/scripts/update_genomes.py from the Ensembl FTP listings.
# Do not edit by hand - rerun the script instead.
# Columns: release,species,common name,genome assembly
release-92,meleagris_gallopavo,wild turkey,UMD2
release-92,mus_musculus,mouse,GRCm38
release-92,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-92,ovis_aries,sheep,Oar_v3.1
release-92,pongo_abelii,sumatran orangutan,PPYG2
release-92,rattus_norvegicus,rat,Rnor_6.0
release-92,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-92,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-92,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-93,bos_taurus,bovine,UMD3.1
release-93,canis_familiaris,dog,CanFam3.1
release-93,drosophila_melanogaster,fruit fly,BDGP6
release-93,equus_caballus,horse,EquCab2
release-93,gallus_gallus,chicken,Gallus_gallus-5.0
release-93,homo_sapiens,human,GRCh38
release-93,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-93,meleagris_gallopavo,wild turkey,UMD2
release-93,mus_musculus,mouse,GRCm38
release-93,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-93,ovis_aries,sheep,Oar_v3.1
release-93,pongo_abelii,sumatran orangutan,PPYG2
release-93,rattus_norvegicus,rat,Rnor_6.0
release-93,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-93,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-93,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-94,bos_taurus,bovine,UMD3.1
release-94,canis_familiaris,dog,CanFam3.1
release-94,drosophila_melanogaster,fruit fly,BDGP6
release-94,equus_caballus,horse,EquCab2
release-94,gallus_gallus,chicken,Gallus_gallus-5.0
release-94,homo_sapiens,human,GRCh38
release-94,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-94,meleagris_gallopavo,wild turkey,UMD2
release-94,mus_musculus,mouse,GRCm38
release-94,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-94,ovis_aries,sheep,Oar_v3.1
release-94,pongo_abelii,sumatran orangutan,PPYG2
release-94,rattus_norvegicus,rat,Rnor_6.0
release-94,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-94,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-94,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-95,canis_familiaris,dog,CanFam3.1
release-95,drosophila_melanogaster,fruit fly,BDGP6
release-95,homo_sapiens,human,GRCh38
release-95,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-95,meleagris_gallopavo,wild turkey,UMD2
release-95,mus_musculus,mouse,GRCm38
release-95,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-95,ovis_aries,sheep,Oar_v3.1
release-95,pongo_abelii,sumatran orangutan,PPYG2
release-95,rattus_norvegicus,rat,Rnor_6.0
release-95,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-95,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-95,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-96,canis_familiaris,dog,CanFam3.1
release-96,homo_sapiens,human,GRCh38
release-96,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-96,mus_musculus,mouse,GRCm38
release-96,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-96,ovis_aries,sheep,Oar_v3.1
